perturbation,Pathway,mean_on_buscar_scores,mean_off_buscar_scores,mean_average_precision
UCD-0159465,Metabolism,1.0733469939255766,0.243038813052016,0.131620405057905
UCD-0159466,Cell Cycle,1.2725039761710786,0.4068119795343611,0.3651027077497665
UCD-0159467,Ubiquitin,22.68394406372662,0.4068627450980392,
UCD-0159468,Apoptosis,5.430109262826612,0.5010074205120645,0.6216666666666667
UCD-0159470,MAPK,1.108884962944803,0.2243155990743814,0.2660395622895622
UCD-0159471,Proteases,1.0139037791416057,0.1520336464848311,0.1646271502249763
UCD-0159472,TGF-beta/Smad,1.246130943064349,0.2690323337572124,0.3551434676434676
UCD-0159473,Epigenetics,1.2196461970012158,0.2272602920440488,0.1747152103130363
UCD-0159474,DNA Damage,1.0829667436686474,0.4050023704469029,0.4412698412698412
UCD-0159476,Metabolism,1.1471153211021774,0.3901184687412422,0.6194444444444445
UCD-0159477,Metabolism,1.5441023592761554,0.2842039900795259,0.3825221755368814
UCD-0159478,Cell Cycle,1.559818012356044,0.239026865861008,0.0266055137202004
UCD-0159479,Transmembrane Transporters,1.011831861854395,0.2151757368143323,0.2373390752395329
UCD-0159480,Transmembrane Transporters,2.096654626193729,0.2762869921020077,0.0186820652173913
UCD-0159481,Cell Cycle,1.0805690866644408,0.2504053343887057,0.1495140480434598
UCD-0159483,Endocrinology & Hormones,1.0037308145550312,0.078804688248776,0.080880649563153
UCD-0159484,Epigenetics,1.1458902543260818,0.2026328935193785,0.1792678894593688
UCD-0159486,Others,0.9461621636164677,0.0622594053581777,0.0690476904744598
UCD-0159487,Others,1.0771365455928616,0.2933458010017388,0.4629960317460317
UCD-0159488,Epigenetics,2.588917914075448,0.2978025328938831,0.252462091666903
UCD-0159492,Cell Cycle,1.1108841585033196,0.1710889945607238,0.3261083687554276
UCD-0159493,Epigenetics,1.449816397652459,0.5182165470666943,0.4947268009768009
