Pathway,Metadata_treatment,mean_score,median_score,score_std,n_scored_cells,n_score_plates,mean_cell_count,median_cell_count,mean_relative_cell_count,median_relative_cell_count,viability_std,n_treatment_wells,n_viability_plates
Neuronal Signaling,UCD-0159367,0.6417548682864812,0.7217747351052474,0.32745566336169973,755,4,188.75,193.0,0.9492801476455638,0.926313791794624,0.11764520974464948,4,4
Neuronal Signaling,UCD-0159381,0.22685580731318647,0.14506144500115326,0.25846157346387394,540,4,135.0,151.5,0.6807859754731196,0.7104956972251493,0.2517442429133906,4,4
Neuronal Signaling,UCD-0159382,0.31280539423378717,0.220152166923277,0.2963395953720612,849,4,212.25,219.5,1.0594754631963277,1.0496066433566433,0.11018096431083972,4,4
Neuronal Signaling,UCD-0159387,0.9888601510936009,0.99954203220115,0.04430062783444363,809,4,202.25,207.5,1.0035568401297241,0.9918164774622453,0.11224617973679157,4,4
Neuronal Signaling,UCD-0159390,0.3022670502884608,0.18298248350482726,0.3085790148899048,746,4,186.5,179.5,0.9375341295969251,0.9403409090909091,0.13999631387799874,4,4
Neuronal Signaling,UCD-0159406,0.9085876235742428,0.9880309125813642,0.17420910906762965,652,4,163.0,160.5,0.911870298130483,0.87807336523126,0.0727749674870243,4,4
Neuronal Signaling,UCD-0159408,0.2231532086041569,0.1269677057225392,0.24206252675394013,844,4,211.0,219.0,1.0635805812187535,1.0275289778714436,0.22216998130500543,4,4
Neuronal Signaling,UCD-0159410,0.1734062652669647,0.0647894813299207,0.22436925911793396,663,4,165.75,172.0,0.8176983597544698,0.8474011819414842,0.15623093301325003,4,4
Neuronal Signaling,UCD-0159411,0.5186944136725086,0.4918694195556629,0.3312687731433143,772,4,193.0,189.5,0.9049361294715798,0.8565627777267015,0.1039355788433118,4,4
Neuronal Signaling,UCD-0159411B,0.9967335355110147,0.9999991786791289,0.04469336475272722,538,4,134.5,140.5,0.6292671307161024,0.6355765989396587,0.07868236689814465,4,4
Neuronal Signaling,UCD-0159582,0.32754925058628476,0.2524530459808981,0.27808234333588944,393,4,98.25,100.5,0.7437508296276631,0.7418032786885246,0.12105912596527242,4,4
Neuronal Signaling,UCD-0159626,0.1291394709828155,0.056029850299181755,0.18180753306195008,300,3,100.0,86.0,0.6281439965850613,0.4648648648648649,0.4295430947961698,3,3
Others,UCD-0000463,0.3662311435457167,0.28053747351692637,0.3276040664785176,582,4,145.5,138.0,0.683796368555226,0.6666666666666666,0.1317562408885307,4,4
Others,UCD-0000684,0.22318569579243291,0.0964656795980531,0.273803973374643,786,4,196.5,194.5,0.95642951326359,0.9412878787878788,0.07981037600261215,4,4
Others,UCD-0001435,0.03271780225377349,0.00011519068562756065,0.11275093539911557,773,4,193.25,198.0,0.9181872419878664,0.9068070175438596,0.03111989302931386,4,4
Others,UCD-0001616B,0.15376819659936006,0.041623728489056266,0.2268493767491379,782,4,195.5,196.0,0.9736137708740282,0.9114336353819428,0.19272279159864758,4,4
Others,UCD-0001775,0.2239777455485181,0.11157649291329257,0.253945846704096,897,4,224.25,213.0,1.0428789048374103,1.0475256375238993,0.08707315262092338,4,4
Others,UCD-0001800,0.9517017762986469,0.9517017762986469,0.06274854019982672,2,2,1.0,1.0,0.004632233553713746,0.004632233553713746,0.000682861447803545,2,2
Others,UCD-0001802,0.39345760062185003,0.32313722184540994,0.3368880291338914,604,4,151.0,156.0,0.7496995075412987,0.7091780877463303,0.10920222927394589,4,4
Others,UCD-0001812,0.9779592476124797,0.9997309149019691,0.0772017642856282,660,4,165.0,167.0,0.8115532017253011,0.7997621576686833,0.15443321945639682,4,4
Others,UCD-0001835,0.9008196497038196,0.9999335366146583,0.20705286720773555,5,2,2.5,2.5,0.011729510047414765,0.011729510047414765,0.009722917808593528,2,2
Others,UCD-0001844,0.341665444027787,0.22616232686840337,0.35087861225469374,223,3,74.33333333333333,73.0,0.3605897116520831,0.3395348837209302,0.0966381101549585,3,3
Others,UCD-0001850,0.8458110514102297,0.9551089011645383,0.23132342259186833,857,4,214.25,206.0,1.0694063830468212,1.1183663302814617,0.13819648988416058,4,4
Others,UCD-0001915,0.9822994620532043,0.9999613335930835,0.059638120224529724,64,4,16.0,15.5,0.07321375162475191,0.07361706931587265,0.021876143934941514,4,4
Others,UCD-0022022,0.12508642748055498,0.03927804699820428,0.19220437332115498,764,4,191.0,181.0,0.9460571974492733,0.8981643356643356,0.1355633115613116,4,4
Others,UCD-0159261,0.9620510413323957,0.9982576377440737,0.09948735883050232,654,4,163.5,180.0,0.7556821479444478,0.7890379233812602,0.312400872215514,4,4
Others,UCD-0159262,0.9210143194395555,0.9991929874983163,0.17209863806368086,40,4,10.0,10.0,0.04700000520427624,0.04350091672295667,0.022389584536355252,4,4
Others,UCD-0159263,0.6125148063987246,0.6823916949769496,0.3080586706771272,795,4,198.75,183.0,0.9235422988178057,0.9105604250987014,0.1043208609339385,4,4
Others,UCD-0159266,0.323264062213351,0.22833855189515415,0.30718810295979404,726,4,181.5,172.0,0.8993487083763417,0.848166235177791,0.2038759731643953,4,4
Others,UCD-0159268,0.9610885015018698,0.9986867557179607,0.11453461325031775,796,4,199.0,197.5,0.9960657156896622,1.0313351498637602,0.12948225059395096,4,4
Others,UCD-0159269,0.15968444887455385,0.053546054255681756,0.22417100869480358,875,4,218.75,214.5,1.0257420741430665,0.9880612537275419,0.16551453707521688,4,4
Others,UCD-0159270,0.1555441040254247,0.04356276451136553,0.21862807984576388,800,4,200.0,200.0,0.935323155927072,0.9315172782965563,0.045034284226398325,4,4
Others,UCD-0159271,0.7172584984497103,0.8295301864988591,0.2817989823565078,505,4,126.25,125.0,0.5943158698420958,0.5944005418830436,0.08165622505723284,4,4
Others,UCD-0159273,0.28809223977619264,0.18368139074089965,0.28815964624564794,877,4,219.25,206.0,1.0149888749370464,0.9778505305938135,0.11550648111884075,4,4
Others,UCD-0159274,0.7415506977102388,0.8511395859331556,0.27205325641462386,974,4,243.5,245.5,1.140760246495704,1.1768393505025871,0.07742332852886595,4,4
Others,UCD-0159275,0.5208513752450697,0.5227651749237933,0.283977615694628,593,4,148.25,148.5,0.6847856478180632,0.724796288586213,0.18871325081349002,4,4
Others,UCD-0159276,0.8834500967818433,0.8276047279419712,0.10540136515085713,13,1,13.0,13.0,0.05508474576271186,0.05508474576271186,,1,1
Others,UCD-0159277,0.99999999998504,0.99999999998504,,1,1,1.0,1.0,0.00423728813559322,0.00423728813559322,,1,1
Others,UCD-0159278,0.17616201633584352,0.040847995418700565,0.2593111343705076,770,4,192.5,191.5,0.9646710104580659,0.9857718458826492,0.1421124842903219,4,4
