Metadata_treatment,Pathway,mean_logit_score,mean_relative_cell_count,mean_average_precision,corrected_p_value,-log10(p-value),hit
UCD-0159449,Ubiquitin,0.7567513384716827,0.6645188559312732,0.4763979076479076,0.155694458446752,0.8077268447782245,False
UCD-0159519,Stem Cells & Wnt,0.0924146473429188,0.0441806922832645,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159511,Autophagy,0.696184158663806,0.8495461227151326,0.3989357864357864,0.2466165413533834,0.6079777972554067,False
UCD-0159503,Cytoskeletal Signaling,0.7328263309942077,0.6755749124118284,0.5402777777777777,0.0997861199203481,1.0009298641357447,False
UCD-0159495,Apoptosis,0.7851964936049428,0.6071033425967385,0.6898989898989898,0.0489284471184923,1.3104385675748629,False
UCD-0159479,Transmembrane Transporters,0.7824579668009641,0.7496404295264902,0.7090277777777777,0.0448414145096609,1.3483206961651315,False
UCD-0159471,Proteases,0.7559995229342313,0.9754479634606494,0.7013888888888888,0.0448414145096609,1.3483206961651315,False
UCD-0159463,GPCR & G Protein,,,,,,False
UCD-0159456,Apoptosis,0.8001577500686391,0.9733710602453284,0.6833333333333332,0.0489284471184923,1.3104385675748629,False
UCD-0159448,Ubiquitin,,,,,,False
UCD-0159518,Proteases,0.999850919616445,0.5464637196496336,0.7458333333333333,0.040347711989503,1.394181087918541,False
UCD-0159510,Autophagy,0.9996290987429646,0.6920272319772511,0.7458333333333333,0.040347711989503,1.394181087918541,False
UCD-0159502,MAPK,,,,,,False
UCD-0159494,Protein Tyrosine Kinase,,,,,,False
UCD-0000918,Proteases,0.1711680900630381,0.8032050336365395,0.6834415584415584,0.0489284471184923,1.3104385675748629,False
UCD-0159464,Metabolism,0.5300378457594247,1.1914385825023337,0.6201388888888889,0.0547226053298927,1.2618332341413614,False
UCD-0159397,Others,0.2050837895679669,0.7235904551841102,0.4399801587301587,0.2189821351832525,0.6595913139626328,False
UCD-0159441,Metabolism,0.2090019251418315,0.7959814380225703,0.5102362914862915,0.1176594106530412,0.9293733312908564,False
